Total protein by cell line	HCC1806	MCF10A	HCC38	BT549	HS578T	MDAMB231	SKBR3	MCF7	HCC70	BT20
KANK2	-0.95108	0.35716	-1.1736	1.1913	1.976	0.35195	-0.89642	-0.39395	-0.42756	-0.033761
PEAK1	-1.3185	0.63704	-0.88032	0.64156	2.1165	0.29795	-0.91476	-0.41372	0.116	-0.2817
LRP1	-0.35972	1.1184	-0.30015	1.06	1.8545	-0.099566	-1.1711	-0.97389	-0.57875	-0.54973
SORBS3	-0.74805	0.92156	-0.27511	1.246	1.7063	0.058134	-0.78077	-1.4958	-0.28947	-0.34273
LMO7	0.15008	0.042404	-0.16327	0.2607	2.4327	0.092482	-1.2796	-1.0971	-0.12549	-0.31297
TRIOBP	-0.47258	0.05357	-0.81059	0.93449	2.0477	0.2796	-1.159	-1.1442	0.51161	-0.24064
NTN4	-0.64836	0.14148	-0.80019	1.3153	1.517	-0.96144	-0.56863	-1.3038	0.44944	0.85917
WNT5A	-0.61384	0.4357	-0.20692	0.48211	2.0219	-1.2727	0.14347	-1.3705	-0.29876	0.67958
ZNHIT1	-1.1435	0.28353	-0.24756	1.185	1.5402	-1.4167	0.064176	0.070001	-1.0901	0.75493
ARHGAP31	0.36458	-0.28762	-0.0086516	-0.059758	2.4499	0.21601	-0.093771	-1.2764	-0.30336	-1.001
TMEM200A	0.91447	-0.53745	-0.54643	-0.29942	2.5555	-0.44455	-0.2404	-0.44778	-0.32712	-0.62684
LPXN	0.33746	-0.52086	-0.26789	-0.45503	2.4103	0.56887	-0.79933	-0.78285	0.39916	-0.88982
ZBTB20	0.6368	-0.27269	-0.2966	-1.0735	2.1384	0.0964	-0.58909	-0.49619	0.95158	-1.095
CALU	-0.68272	-0.32949	-0.19318	0.036869	2.5411	0.064104	-0.085235	-0.65733	0.44207	-1.1361
RLIM	0.046408	-0.72923	-0.99616	0.052447	2.4982	0.30977	-0.036669	-0.78189	0.29586	-0.65872
CALU	-0.49256	-1.1336	-0.20108	-0.094814	2.1118	0.072739	0.28712	-0.93876	1.174	-0.78484
BGN	-0.25159	-0.51624	-0.36264	-0.25601	2.7917	-0.58288	-0.53619	-0.030443	-0.0319	-0.22386
COL6A3	-0.40622	-0.25155	0.032912	-0.32867	2.8107	-0.3552	-0.47947	-0.35491	-0.16426	-0.50337
PCOLCE	-0.28552	-0.27133	-0.26616	-0.3508	2.817	-0.19125	-0.64221	-0.21989	-0.14687	-0.44303
PDGFRB	-0.44667	-0.52499	-0.22548	-0.35765	2.7987	-0.23071	-0.36308	-0.22435	0.093287	-0.51904
EMILIN1	-0.1745	-0.26883	-0.54288	-0.43251	2.8179	-0.23282	-0.25619	-0.43831	-0.075207	-0.39665
CNN1	0.025359	-0.43442	-0.30846	-0.35197	2.7578	-0.31178	-0.23591	-0.22586	-0.030888	-0.88388
ITGA11	-0.5664	-0.44401	-0.45929	-0.024565	2.7902	-0.14993	-0.43631	-0.48836	-0.042071	-0.17926
LUM	-0.44882	-0.59934	-0.40019	-0.23403	2.7999	0.016729	-0.30915	-0.47783	-0.15942	-0.18787
LRRC32	-0.45694	-0.63808	-0.51696	0.28756	2.7435	-0.36235	-0.41209	-0.34516	-0.004662	-0.29484
MYL9	-0.31846	-0.030849	-0.58996	-0.3034	2.6991	0.26613	-0.62836	-0.64448	-0.53319	0.083445
CORO2B	-0.57404	-0.039078	-0.70453	-0.66315	2.6118	0.13568	-0.40269	0.5529	-0.50715	-0.40974
SULF1	-0.54688	0.20541	-0.26523	-0.46888	2.6447	-0.47882	-0.80338	0.454	-0.46736	-0.27356
RMDN2	-0.11555	0.085474	-0.45429	-0.57115	2.7923	-0.31386	-0.5043	-0.25989	-0.40827	-0.25048
ZNF407	-0.12673	0.47879	-0.24058	-0.9683	2.6363	-0.18337	-0.32127	-0.19738	-0.37604	-0.70141
COL6A1	-0.17463	-0.66322	0.51325	0.021748	2.5668	0.25023	-0.76374	-0.65824	-0.57436	-0.51785
COL6A2	-0.27798	-0.4937	0.63815	-0.15593	2.6566	-0.35302	-0.58714	-0.5438	-0.57396	-0.30919
COL6A3	-0.53126	-0.29533	0.69967	-0.33445	2.6514	-0.30585	-0.55501	-0.40522	-0.5197	-0.40424
MBNL1	-0.34641	-0.43685	0.87917	-0.84408	2.4319	-0.43775	-0.82985	-0.53701	-0.17817	0.29909
CLIP2	0.27571	-1.0833	0.32028	-0.25294	1.7666	1.475	-0.77314	-0.84874	0.099923	-0.97942
DVL3	0.34154	-0.76234	0.14144	-0.55449	2.0159	1.3419	-1.0892	-0.7999	-0.11436	-0.52047
EDEM1	0.63232	0.099962	0.012662	-0.15681	2.0828	0.81731	-1.3429	-0.47867	-0.5707	-1.096
KCTD10	0.5503	-0.31289	0.57411	0.00036239	2.136	0.46202	-1.4174	-0.66704	-0.37869	-0.94681
EIF3G	0.95606	-0.488	0.18077	-0.29969	1.553	1.2959	-1.3186	-0.37069	-0.19778	-1.311
EPDR1	0.7731	-0.80814	0.96787	-0.97419	1.6687	1.0952	-0.67752	-0.5642	-0.79328	-0.68755
CSPG4	-0.50072	-0.2242	-0.3746	0.025385	2.6027	0.70116	-0.68769	-0.42299	-0.47468	-0.64435
LIMS2	-0.30538	-0.40274	-0.13777	0.43267	2.5418	0.49303	-0.75083	-0.74755	-0.36036	-0.7629
MAP1A	-0.70084	-0.28832	-0.55274	0.21373	2.5534	0.51204	-0.65252	-0.61353	0.19969	-0.67094
CTGF	-0.2201	0.085985	-0.45567	0.80028	2.3083	0.5626	-0.74619	-0.77384	-0.58515	-0.97627
TGFB1I1	-0.27255	-0.12489	-0.14949	0.75382	2.2702	0.6317	-0.99908	-0.97861	-0.27283	-0.85823
NEXN	-0.4824	0.50462	-0.21307	-0.38873	2.4941	0.60145	-0.77645	-0.57167	-0.33697	-0.83091
DLC1	-0.47545	-0.20724	-0.51051	0.17926	2.2752	1.2266	-0.94658	-0.3241	-0.52127	-0.69593
RFTN1	0.14341	0.038705	-0.51422	0.22796	2.071	1.2695	-1.0569	-0.53176	-0.78043	-0.86727
TRAM2	0.16877	-0.63305	-0.46572	0.50043	1.9847	1.3922	-0.69287	-0.6825	-0.63583	-0.93607
MXRA8	-0.46596	-0.56522	-0.55559	-0.57233	2.3107	1.3223	-0.61289	-0.28158	-0.048423	-0.53102
MXRA8	-0.4605	-0.55282	-0.49901	-0.54464	2.5358	0.96887	-0.33854	-0.30485	-0.26639	-0.53789
MYLK	-0.68417	-0.72919	0.32948	-0.50137	2.4189	0.72491	-0.63649	-0.56282	0.30893	-0.66817
ECM1	0.2325	0.19558	-0.49345	-0.61535	2.1648	1.0663	-1.1522	-0.20075	-0.1642	-1.0333
PPT2	0.36644	-0.19285	-0.64127	-1.0889	1.9641	1.3903	-0.94924	0.10077	-0.27589	-0.67344
XXYLT1	0.45146	-0.027871	-0.69123	0.21086	2.1216	0.67578	-1.1673	0.086568	-0.29711	-1.3628
PMM1	-1.3854	-0.43664	0.99602	-0.70441	1.9749	0.18676	0.19349	-0.12961	0.41754	-1.1127
TPM3	-0.89337	0.62126	0.54434	-0.26453	1.8021	-0.30075	-0.18639	0.18464	0.45189	-1.9592
AK5	0.059553	-0.44401	-0.070588	0.55335	1.974	-0.79195	-0.91337	-0.60287	1.2881	-1.0523
COPZ2	-0.34202	-0.33363	0.13489	-0.30813	2.3527	-0.47885	-1.0462	-0.47833	1.1	-0.60046
ERAP2	-0.53189	-0.32623	0.85375	-0.64962	1.8132	-0.65838	-0.4229	-0.68738	1.5092	-0.89977
APOL2	0.82395	-0.36528	0.21183	-0.57273	2.1844	-1.19	-0.41093	-0.95941	0.63854	-0.36034
DGCR14	0.50266	0.27558	0.649	-0.27123	1.9467	-1.1902	-0.30298	-1.0624	0.62101	-1.1681
HDLBP	0.48459	0.58604	-0.48418	0.41327	1.8252	-1.1374	-1.5327	-0.78818	0.64857	-0.01511
TPM2	-0.43714	0.8779	-0.19723	0.092843	1.9253	-1.617	-0.97611	-0.21947	0.78376	-0.23283
FKBP10	-0.52873	-0.33282	1.2051	0.7795	1.247	-1.6621	0.54659	-1.3776	0.17931	-0.056182
KPNA4	-0.1486	-1.1338	1.3175	0.16523	1.6964	-1.4662	0.23832	-0.90092	0.059194	0.17285
GGT7	-0.47424	-0.68162	0.769	1.071	1.5382	-1.3458	0.018612	-0.53635	0.83119	-1.1899
LEPREL4	-0.12155	-0.06181	0.66741	1.4311	1.4958	-1.5153	-0.50609	-1.2437	0.19262	-0.33843
RECQL	-0.42687	-0.60716	0.6626	1.2935	1.4463	-1.4911	-0.51883	-1.1591	0.61067	0.18996
ACTG1	-0.91869	0.26045	-1.1764	0.93416	1.4406	-1.0886	0.14342	-0.46698	1.424	-0.55202
TREX1	-0.45458	0.30805	-1.7907	1.1149	1.3795	-0.43235	0.42485	-0.74158	0.93563	-0.74369
LPHN2	-1.091	0.16505	-0.81004	1.4429	1.2808	-0.20894	-0.2591	-0.84209	1.2864	-0.96401
BST1	-0.86404	-0.44926	-0.3388	1.9242	1.3702	-0.68015	-0.47362	-0.66017	0.86666	-0.695
RAB2A	-0.89072	-0.12298	-0.60414	1.9901	1.1461	-1.1774	-0.38112	-0.70715	0.72112	0.026174
RAB2B	-1.0176	-0.35627	-0.76013	2.0179	0.99373	-1.0741	-0.32683	-0.14505	0.92376	-0.25546
DMXL1	-1.6363	-0.070758	-1.1211	1.7373	1.2815	-0.32469	-0.31457	-0.031093	0.43959	0.040123
NAV1	-1.3289	-0.089549	-1.0039	1.7812	0.82732	0.0065041	0.61018	-1.0479	0.77842	-0.53338
TUSC1	-1.4046	-0.40814	-1.1848	1.6991	0.48493	-0.57151	0.89566	-0.46297	0.99493	-0.042654
C8orf33	-0.049356	-1.367	-1.2562	2.0022	0.83705	0.25515	0.30595	-0.81124	-0.060531	0.144
PPIP5K2	-0.81304	-1.2864	-1.0072	1.9491	1.0055	0.40614	0.43883	-0.13276	-0.68488	0.12471
RIOK2	-0.62925	-1.2763	-0.99594	1.5585	0.94365	0.59743	1.2486	-0.66403	-0.37303	-0.40966
MYO9B	-0.95872	-1.0992	-0.87917	1.4572	1.3222	0.52665	-0.12576	-1.1812	0.24582	0.69225
SOGA1	-1.105	-1.1591	-1.2188	1.0999	0.86057	0.8598	0.66672	-0.98331	0.059888	0.91943
TWF2	-1.3264	-0.79015	-1.0731	1.3341	1.0113	0.23353	0.99031	-1.1259	0.17245	0.57392
TRIP6	-1.1485	-0.77408	-1.0981	1.0272	1.6676	-0.30825	0.88785	-0.9146	0.55628	0.10461
NUMBL	-1.1756	-0.47991	-0.78598	1.1287	1.8464	-0.23373	0.14007	-0.9657	-0.42333	0.94912
HIVEP2	-2.3161	-0.3835	-0.17788	1.3577	0.99124	0.054769	0.22697	-0.51649	0.47758	0.28579
KCTD9	-2.0328	-0.039886	-0.116	1.624	1.032	0.76324	-0.22117	-0.54891	0.0061035	-0.46649
KIF13B	-1.5009	-0.99663	-0.45837	1.7326	0.79712	0.65578	0.98083	-0.48827	-0.27386	-0.44836
PDLIM5	-1.3331	-0.53	-0.77471	1.7775	1.4073	0.023173	0.69492	-0.66373	-0.080625	-0.5207
MAP4	-1.5075	0.1006	-0.89383	1.4811	0.97572	0.99295	0.65038	-0.96863	-0.61602	-0.21478
CEP41	-1.2104	-0.40816	-0.1828	0.81967	1.5146	1.185	0.52814	-0.72514	-0.052046	-1.4688
GATA6	-0.77193	-0.59706	-0.3693	1.3085	1.7619	1.0845	-0.11381	-0.82215	-0.48134	-0.9992
TGIF1	-0.79369	-0.58825	-0.72107	1.1845	2.0389	0.78327	-0.19091	-0.65883	-0.13671	-0.91722
SNTB1	-0.71794	-0.80245	-0.84527	0.87382	1.9634	0.79699	0.40551	-0.54953	0.059738	-1.1843
SUFU	-0.35758	-0.59765	-0.41345	0.773	1.4077	1.0274	0.16589	-0.59124	0.58376	-1.9978
ZYG11B	-0.16948	-0.65605	-0.34855	0.70106	1.7825	1.0509	0.33251	-0.49748	-0.43505	-1.7604
EIF1AX	-0.8537	-0.73917	-0.62596	0.63123	1.0838	1.3688	1.2474	-1.1379	0.042349	-1.0168
GSTM4	-0.57715	-0.93656	-0.2075	0.28325	1.8592	1.2622	0.77517	-0.83387	-0.82834	-0.79641
USP1	-1.0104	-0.45786	-0.32434	0.52891	1.768	1.0717	0.78704	-1.435	-0.48572	-0.44236
NRGN	-1.0382	-0.61514	-0.5143	0.23545	1.8022	1.555	0.11029	-1.1598	-0.44278	0.067285
DOCK5	-0.61882	-0.3847	-0.96662	1.3765	1.8919	0.27686	0.40324	-0.57732	-1.2038	-0.19733
PRKCA	-0.7889	-0.33113	-0.77271	1.1153	1.5726	1.2481	-0.11972	-0.93472	-1.2082	0.21932
ELMO2	-1.2227	-0.59508	-0.16127	1.1479	1.5328	1.2285	0.22872	-0.2937	-1.1207	-0.74436
KCTD20	-0.60231	-0.50517	-0.93858	1.1486	1.3974	1.6087	0.060944	-0.51811	-0.87676	-0.77475
DAB2IP	-1.7285	-0.3117	-1.0129	0.30404	1.1376	1.2155	0.68487	-0.84261	0.86534	-0.31155
GRB10	-1.3434	-0.3619	-1.3352	0.013024	1.7586	0.87562	-0.014308	-0.62558	1.0149	0.018221
GAS2L1	-1.0145	0.30727	-1.3283	0.44064	1.6884	1.2199	-0.23289	-0.58125	0.47904	-0.97839
KIAA0430	-0.38781	-0.63075	-1.5721	0.72669	1.0231	1.0613	0.26417	-1.0407	1.271	-0.71487
ARID5B	-1.0741	-0.20347	-0.67656	0.54466	1.9936	-0.5576	1.0828	-0.39222	0.41017	-1.1273
FAM114A2	-0.61592	-0.7772	-0.19743	-0.32105	1.4019	-0.20112	1.7791	-0.33164	0.70912	-1.4458
USP48	-0.98845	-0.71661	-0.90535	-0.67712	2.0227	0.32833	0.80935	-0.6309	0.96707	-0.20906
VASN	-1.1537	-1.5604	-0.26134	-0.60499	1.701	0.5076	1.2141	-0.26583	0.29674	0.12677
DNAJC6	-0.42565	-0.74671	-0.96977	-0.73082	1.682	0.28454	1.8015	0.19343	-0.57302	-0.51544
GLRX	-0.39376	-0.78038	-0.62559	-0.90218	1.6616	1.2372	1.0461	-0.043466	0.079894	-1.2793
PSD3	-0.56089	0.19279	-0.70027	-0.2829	2.1805	0.52549	0.68542	0.12938	-0.76281	-1.4067
BCL7B	-1.6358	0.11559	-1.3444	-0.061361	0.85352	0.40968	1.4402	0.53077	0.62054	-0.92871
CAPZA2	-1.6654	-0.38381	-1.2095	-0.078568	0.88169	0.69113	1.1206	0.55003	0.99357	-0.89979
RNF181	-1.3483	-0.28553	-1.4207	0.24622	1.4728	0.83896	0.98236	0.14578	0.37796	-1.0096
C1orf123	-1.1188	-1.5229	-1.2612	-0.11071	1.2014	0.81412	0.49487	1.0821	0.53886	-0.11778
FAM160B1	-0.38642	-1.2716	-1.2747	-0.26332	1.6073	0.45636	0.4414	0.89232	0.83109	-1.0325
FOXP1	-1.1342	-0.027409	-1.7438	-0.06059	1.6558	0.47664	-0.13829	1.2234	0.14962	-0.40114
ABCC4	-0.53157	1.2529	0.39218	1.7487	0.053285	0.62989	-0.67594	-0.48487	-1.1663	-1.2182
GEMIN5	-0.45416	1.0887	0.39427	1.5537	-0.075069	0.477	0.077414	0.033839	-1.6075	-1.4882
CSNK1G3	-0.22481	1.5081	-0.469	1.9762	-0.80682	0.42231	-0.60745	-0.27188	-0.52646	-1.0002
SLC20A1	-0.28739	1.2305	-0.43567	1.9882	-0.44921	0.89044	-0.63569	-0.5416	-0.77815	-0.98138
RNMTL1	-0.15586	1.1534	-0.19864	1.9073	-0.93582	0.60517	0.080495	-0.15135	-1.0086	-1.296
KIAA1549	-0.63987	0.93976	0.18157	1.6894	-0.60529	0.97999	-0.80243	0.38275	-0.59215	-1.5338
STX7	-0.56512	1.1314	-0.34159	1.4122	-0.44497	0.83855	0.09972	0.43799	-0.61765	-1.9506
ABHD17A	0.26463	-0.0021386	-0.21076	2.2633	-0.89401	0.66733	-0.21542	0.19086	-1.4229	-0.64095
ABHD17B	0.060597	0.13335	-0.28342	2.2581	-1.1454	0.71628	-0.1413	0.30832	-1.0976	-0.80901
ABHD17B	0.042705	0.10348	-0.24615	2.1884	-1.1201	0.839	-0.14382	0.34233	-1.1253	-0.88055
COQ10A	0.33723	0.6107	-0.15565	1.8229	-0.81813	1.2176	-0.6539	-0.20088	-1.407	-0.75289
COQ10B	0.51457	0.70105	0.10177	1.8057	-0.94891	0.87103	-1.0117	-0.15944	-1.4414	-0.43266
STK16	0.099101	-0.27527	0.16058	1.6009	-1.2125	1.3633	-0.73216	0.84163	-0.76541	-1.0802
KIF2A	0.046951	0.76485	-1.2802	1.5524	-0.9461	1.2521	-0.050145	0.18257	-0.16691	-1.3555
PGRMC2	-0.17203	0.54801	-1.1108	2.0429	-1.087	0.90702	0.23649	0.16757	-0.78823	-0.74394
IGF2R	-0.22121	0.45842	-0.28731	1.7706	-0.13951	1.4466	-0.075896	-0.42803	-1.3987	-1.1251
TIMP2	-0.18753	0.37624	-0.58915	1.7686	0.24574	1.5592	-0.38567	-0.64983	-1.0931	-1.0445
SPRY4	0.26074	0.12192	-0.44183	1.8248	0.0041453	1.524	-0.35921	-1.1825	-0.93781	-0.8142
KIF2A	0.011401	0.47344	-0.59026	1.9911	0.36772	0.67705	0.29266	-0.6872	-1.0493	-1.4867
IL10RB	-0.018975	-0.33082	-0.28584	1.9672	-0.2896	1.4495	-0.029537	-0.23302	-0.78709	-1.4418
TMCC3	0.46184	0.16497	-0.255	1.589	-1.0984	1.4752	0.065959	-0.19111	-0.7196	-1.4928
CRAT	-1.0758	0.80404	-0.25317	1.7396	0.086964	1.0171	0.52108	-0.69357	-1.0108	-1.1355
LONP1	-0.86013	0.84424	-0.62466	1.5674	-0.85534	1.2489	0.79052	-0.27281	-0.81703	-1.021
RAB9A	-1.4616	0.54853	-0.7887	1.6049	-0.13987	0.92728	0.37365	0.7742	-0.75025	-1.0881
SREBF1	-1.0097	0.47295	-0.99733	1.5503	-1.2898	1.0714	1.0329	-0.055256	-0.68484	-0.090537
GEMIN4	-1.1576	0.011753	0.32718	1.62	-0.62579	1.4858	0.021947	0.1324	-1.4835	-0.33219
MFSD8	-1.3694	0.55831	0.50921	0.92665	-1.1302	1.7788	-0.35871	0.40799	-0.8659	-0.45683
ALG14	-0.21038	1.0857	-0.5201	1.6323	-0.016167	0.42537	0.33124	-0.075693	-2.0431	-0.60921
HSPA9	0.23055	1.8032	0.21797	0.84662	-0.0059174	-0.049224	0.23805	-0.25793	-1.8544	-1.1689
