cell_line	small_molecule	GR50	GRmax	GR_AUC	EC50	GRinf	Hill	r2	pval
BT-20	CHIR-99021	Inf	0.87606	0.032785	0	0.95678	0.01	-9.9611e-12	0.45869
BT-20	CP466722	Inf	0.58569	0.030204	5.0963	0.57082	4.9355	0.96008	0.0015936
BT-20	CP724714	15.0616	0.5398	0.17849	167.7128	-0.99999	0.45583	0.95477	0.0020457
BT-20	CYT387	3.1527	0.080864	0.29819	14.563	-1	0.71795	0.9573	0.0018234
BT-20	Canertinib	4.2297	-0.1297	0.27633	8.7515	-1	1.511	0.91602	0.0070521
BT-20	Celastrol	0.8533	-0.39008	0.52731	1.1232	-0.39537	2.1202	0.9918	6.7247e-05
BT-20	Crizotinib	2.3584	-0.041439	0.34369	9.7441	-1	0.7744	0.94638	0.0028752
BT-20	Dasatinib	0.071187	-0.16281	0.87551	0.097725	-0.1568	0.86085	0.99309	4.7803e-05
BT-20	Dovitinib	0.26661	0.17478	0.57378	0.17246	0.17289	0.97411	0.99215	6.1696e-05
BT-20	Enzastaurin	Inf	1.1436	-0.090375	0	1	0.01	-2.4974	0.99999
BT-20	Erlotinib	Inf	0.54677	0.16609	0	0.81186	0.01	-2.2538e-13	0.11536
BT-20	Flavopiridol	0.027626	-0.33479	1.1891	0.040792	-0.32869	1.2965	0.99743	6.6285e-06
BT-20	Foretinib	0.24042	-0.1138	0.69673	0.25499	-0.064306	2.0556	0.99418	3.3929e-05
BT-20	GDC-0941	0.32532	-0.050454	0.62484	0.91088	-0.36533	0.53273	0.98661	0.00017938
BT-20	GDC-0980	0.023325	-0.19202	1.041	0.032723	-0.18503	0.93001	0.99601	1.5934e-05
BT-20	GSK 690693	1.8982	0.37743	0.3945	0.53267	0.23616	0.50305	0.99169	6.9041e-05
BT-20	GSK1059615	0.17974	-0.42506	0.89305	0.28727	-0.41611	1.2913	0.99797	4.1216e-06
BT-20	GSK1904529A	Inf	0.96036	0.073422	0	0.92474	0.01	-3.8259e-10	1
BT-20	GSK2126458	-Inf	-0.34156	1.2231	0.00058222	-0.49571	0.22107	0.99557	1.9668e-05
BT-20	GW843682	0.18112	-0.12889	0.75555	0.21088	-0.099886	1.1973	0.98044	0.00038243
BT-20	Gefitinib	90.9968	0.76043	0.07823	37.2656	0.21751	0.63954	0.91624	0.0070152
BT-20	Geldanamycin	0.010084	-0.21569	1.0228	0.01573	-0.16691	0.6478	0.89249	0.011559
BT-20	HG-5-113-01	1.6057	-0.15018	0.40482	7.0559	-1	0.74214	0.99751	6.2054e-06
BT-20	HG-5-88-01	Inf	0.40725	0.16244	0	0.79475	0.01	-5.107e-15	0.1111
BT-20	HG-6-64-01	2.0128	-0.16843	0.35502	6.9905	-1	0.88241	0.99368	3.9945e-05
BT-20	Imatinib	Inf	0.97969	-0.0069303	0	0.99998	0.01	-0.079668	0.58942
BT-20	JNK-9L	0.4482	-0.21304	0.61592	1.1974	-0.48831	0.69339	0.98976	0.00010488
BT-20	JW-7-24-1	3.2977	-0.011047	0.29933	11.4265	-1	0.88404	0.87854	0.014753
BT-20	KIN001-043	9.7826	0.47828	0.087082	13.9426	-0.79245	2.6801	0.96713	0.0010805
BT-20	LDN-193189	1.5233	-0.49299	0.45076	2.5596	-0.66026	1.622	0.99599	1.6099e-05
BT-20	Lapatinib	Inf	0.74934	0.066369	0	0.91239	0.01	-4.6463e-12	0.263
BT-20	Linifanib	10.2262	0.53984	-0.015916	12.5906	-0.91455	5	0.88357	0.013556
BT-20	Linsitinib	Inf	0.78946	0.10921	0	0.87806	0.01	-4.4409e-16	0.79343
BT-20	MK2206	2.0097	0.098495	0.36745	15.5947	-0.99998	0.53618	0.96773	0.0010416
BT-20	Mitoxantrone	0.0057562	-0.41567	1.0998	0.051989	-0.58774	0.35318	0.97109	0.00083582
BT-20	NU7441	7.4696	0.26908	0.095305	13.3608	-0.98802	1.8756	0.99144	7.3228e-05
BT-20	NVP-AEW541	15.4437	0.87273	-0.0090832	13.9663	0.19757	4.9999	0.82026	0.032305
BT-20	NVP-AUY922	-Inf	-0.029469	1.0261	0	-0.024106	0.01	-8.8489e-12	1
BT-20	NVP-TAE684	3.1657	0.1322	0.28514	5.9708	-0.41422	0.95106	0.91038	0.008031
BT-20	Neratinib	1.5214	0.31427	0.4401	179.5304	-1	0.23028	0.99274	5.2696e-05
BT-20	Nilotinib	8.1306	0.03442	0.094802	10.1048	-0.98251	5	0.99947	2.8434e-07
BT-20	Nintedanib	10.8818	0.51005	0.15621	5.8775	0.20287	0.84491	0.96415	0.0012849
BT-20	OSI-027	0.84268	0.15301	0.44345	0.63328	0.10745	0.84697	0.9699	0.00090614
BT-20	PD0325901	6.5694	0.44476	0.26051	20.2767	-0.33902	0.45928	0.98861	0.00012979
BT-20	PD173074	Inf	0.8803	-0.10021	0	1	0.01	-0.75736	0.72192
BT-20	PD184352	8.2232	0.30713	0.070488	9.7247	-0.32924	3.0167	0.99189	6.5787e-05
BT-20	PF431396	0.31661	-0.15547	0.64785	0.41526	-0.15552	0.99852	0.98934	0.00011355
BT-20	PF477736	6.096	0.13321	0.16896	11.8039	-1	1.6626	0.96762	0.0010486
BT-20	PF562271	1.3998	-0.20088	0.43384	5.8286	-0.99998	0.77018	0.99671	1.0855e-05
BT-20	PHA-665752	8.482	0.31497	0.069464	9.0362	-0.14266	3.9657	0.99764	5.5689e-06
BT-20	PHA-793887	0.056348	-0.20344	0.80323	2.7031	-1	0.28383	0.99461	2.9066e-05
BT-20	PI103	0.265	-0.11083	0.68464	0.30965	-0.10899	1.2666	0.9975	6.2353e-06
BT-20	PIK-93	4.9222	0.097581	0.13056	5.1594	-0.064781	2.5879	0.99489	2.6062e-05
BT-20	PLX-4720	6.8353	0.40791	0.15154	5.1527	0.14861	1.2482	0.99809	3.6503e-06
BT-20	Palbociclib	0.15896	0.19949	0.61046	0.081727	0.156	0.56214	0.99383	3.8092e-05
BT-20	Pelitinib	2.8593	-0.23135	0.33097	7.7279	-1	1.1049	0.91055	0.0080006
BT-20	QL-X-138	0.85975	-0.21304	0.49595	8.0613	-1	0.49085	0.86803	0.017417
BT-20	QL-XII-47	0.1931	-0.26733	0.76171	0.58104	-0.49608	0.62565	0.99041	9.1891e-05
BT-20	R406	9.1724	0.42726	0.082957	15.2878	-0.99247	2.1407	0.99636	1.3274e-05
BT-20	Radicicol	0.10661	-0.14425	0.83096	0.11922	-0.083274	1.3775	0.98562	0.00020686
BT-20	Rapamycin	Inf	0.54413	0.46021	0	0.54444	0.01	0	1
BT-20	Ruxolitinib	19.353	0.70068	0.080068	57.1961	-1	1.0138	0.85917	0.019833
BT-20	SB590885	14.9928	0.87037	0.011776	14.5223	0.072041	4.8802	0.90729	0.0085949
BT-20	SU11274	6.0356	0.075475	0.13012	10.8735	-1	1.8663	0.98928	0.00011495
BT-20	Saracatinib	4.6976	0.25253	0.22825	20.886	-0.99998	0.73631	0.99412	3.4534e-05
BT-20	Selumetinib	Inf	0.9782	-0.017787	0	1	0.01	-0.25725	0.93122
BT-20	Sigma A6730	Inf	0.29737	0.18564	0	0.77279	0.01	0	0.062007
BT-20	Sorafenib	9.496	0.43972	0.16793	45.4992	-1	0.70117	0.85982	0.019649
BT-20	TG 101348	3.8949	-0.11706	0.23643	8.6611	-1	1.3747	0.98791	0.00014627
BT-20	TGX221	Inf	1.0484	-0.00039437	0	0.99793	0.01	-1.5456e-07	1
BT-20	TWS119	4.9529	0.026067	0.18307	10.4361	-1	1.4741	0.99724	7.6018e-06
BT-20	Torin1	0.0040431	-0.24623	1.0131	0.036747	-0.46633	0.29854	0.99426	3.2972e-05
BT-20	Torin2	-Inf	-0.27972	1.1579	0.00095999	-0.38112	0.26177	0.92422	0.0057431
BT-20	Tozasertib	0.03234	-0.031796	0.96164	0.033241	-0.025243	1.7922	0.99889	1.2279e-06
BT-20	Trametinib	Inf	0.68305	0.26983	0	0.73031	0.01	3.3307e-16	1
BT-20	Vemurafenib	12.4682	0.58661	0.087818	32.2436	-0.99998	1.1562	0.98861	0.00012976
BT-20	WH-4-025	0.52521	-0.23928	0.58814	1.2828	-0.46439	0.73562	0.97341	0.00070697
BT-20	WYE-125132	0.029599	0.056185	0.79248	0.023761	0.065071	0.6347	0.96914	0.00095206
BT-20	WZ-4-145	4.9044	0.26562	0.26485	45.08	-1	0.49525	0.79185	0.043328
BT-20	WZ3105	0.0054408	-0.30767	1.0806	0.027736	-0.43776	0.3861	0.99592	1.6673e-05
BT-20	Withaferin A	0.50695	-0.33835	0.66536	0.60461	-0.31339	2.7619	0.99794	4.2538e-06
BT-20	XL147	6.6811	0.1522	0.10607	11.693	-0.99823	1.9607	0.98683	0.00017337
BT-20	XMD11-50	3.543	0.24291	0.29993	30.5251	-1	0.51013	0.97571	0.00059016
BT-20	XMD11-85h	Inf	0.73809	0.10397	0	0.87377	0.01	0	0.81296
BT-20	XMD16-144	0.10465	-0.059151	0.79011	0.10318	0.01272	1.8202	0.98639	0.00018526
BT-20	Y39983	6.8083	0.28893	0.14145	16.2403	-1	1.2637	0.98806	0.00014251
BT-20	YM 201636	3.7624	0.064639	0.23266	11.7349	-1	0.9658	0.98396	0.00025722
BT-20	ZSTK474	0.49681	-0.061587	0.55467	0.54233	-0.059846	1.2897	0.99611	1.512e-05
Hs 578T	(R)- Roscovitine	14.9597	0.67643	0.058021	33.0605	-0.99728	1.3831	0.97271	0.00074455
Hs 578T	A443654	0.055428	-0.2711	1.0238	0.085455	-0.28714	1.0483	0.99921	6.1763e-07
Hs 578T	AT-7519	0.12666	-0.27831	0.91684	0.15273	-0.22896	2.0138	0.98954	0.00010941
Hs 578T	AZD 5438	0.19887	-0.17514	0.75959	0.24844	-0.16285	1.2669	0.99865	1.8301e-06
Hs 578T	AZD-6482	6.2187	0.35547	0.22791	43.9321	-1	0.56193	0.95981	0.0016154
Hs 578T	AZD7762	0.025266	-0.26482	1.0164	0.044281	-0.24612	0.71341	0.96789	0.0010314
Hs 578T	AZD8055	-Inf	-0.1615	0.86486	0	0.12011	0.01	1.1102e-16	0.075834
Hs 578T	AZD8330	-Inf	0.19738	0.78585	0	0.21487	0.01	-1.9201e-11	1
Hs 578T	Afatinib	5.768	-0.14713	0.18809	8.9082	-1	2.5276	0.98295	0.00029067
Hs 578T	BEZ235	-Inf	0.11645	0.85024	0	0.15704	0.01	-2.2204e-16	0.14266
Hs 578T	BI-2536	-Inf	-0.10876	1.0846	0	-0.089318	0.01	0	1
Hs 578T	BMS-387032	0.051623	-0.13897	1.0405	0.054304	-0.13759	4.8012	0.99984	2.5192e-08
Hs 578T	BMS345541	4.5732	-0.2006	0.19643	8.1211	-1	1.9132	0.99772	5.2053e-06
Hs 578T	BX-912	0.8178	-0.090527	0.48355	1.1031	-0.18221	1.0382	0.99582	1.7473e-05
Hs 578T	BYL719	16.1232	0.56143	0.17041	165.8286	-1	0.47137	0.97372	0.00069071
Hs 578T	Barasertib	-Inf	0.16252	0.71779	0	0.27567	0.01	0	0.050438
Hs 578T	Brivanib	74.0117	0.78476	0.070016	534.2762	-0.9999	0.55575	0.84592	0.02374
Hs 578T	Buparlisib	0.51338	-0.22036	0.623	0.69957	-0.26953	1.3934	0.99481	2.6953e-05
Hs 578T	CGP60474	0.036168	-0.21109	1.0771	0.042104	-0.17291	1.9546	0.99198	6.4258e-05
Hs 578T	CHIR-99021	10.9843	0.54022	0.097866	24.7708	-1	1.351	0.95216	0.0022885
Hs 578T	CP466722	Inf	0.66774	0.018612	5.1803	0.6537	4.8028	0.95682	0.0018643
Hs 578T	CP724714	Inf	0.85682	0.057815	999.9988	0.061718	0.39236	0.90385	0.0092454
Hs 578T	CYT387	2.03	0.051322	0.36649	13.3483	-1	0.58332	0.99049	9.0411e-05
Hs 578T	Canertinib	5.4795	-0.27426	0.17267	8.1598	-1	2.7588	0.99759	5.7863e-06
Hs 578T	Celastrol	0.73381	-0.2572	0.51064	0.85593	-0.20016	2.1872	0.98974	0.00010535
Hs 578T	Crizotinib	2.3386	0.050002	0.30205	2.9111	-0.15785	1.253	0.99655	1.1874e-05
Hs 578T	Dasatinib	0.027916	-0.09088	0.9309	0.033021	-0.07656	0.84846	0.99309	4.7774e-05
Hs 578T	Dovitinib	0.13798	0.24956	0.61493	0.085771	0.25097	1.4661	0.98746	0.00015725
Hs 578T	Enzastaurin	19.1543	0.9284	-0.0024793	15.2399	0.34055	4.9993	0.81681	0.03356
Hs 578T	Erlotinib	12.1022	0.59142	0.085509	26.1733	-1	1.4243	0.95658	0.0018854
Hs 578T	Flavopiridol	0.038679	-0.18294	1.1122	0.042584	-0.18422	3.2607	0.9993	4.9471e-07
Hs 578T	Foretinib	0.42221	-0.20805	0.594	0.73476	-0.26801	0.77466	0.92696	0.0053342
Hs 578T	GDC-0941	0.97715	0.26585	0.46532	1.624	-0.097687	0.35131	0.98765	0.00015243
Hs 578T	GDC-0980	0.085756	0.1168	0.7122	0.062397	0.12879	0.93661	0.99594	1.6448e-05
Hs 578T	GSK 690693	Inf	0.74041	0.23553	0.035945	0.73537	1.0677	0.9272	0.0053003
Hs 578T	GSK1059615	0.69533	-0.10394	0.52405	1.1	-0.25626	0.90206	0.9997	9.1217e-08
Hs 578T	GSK1904529A	Inf	0.95453	0.046841	0	0.95373	0.01	-4.8908e-11	1
Hs 578T	GSK2126458	-Inf	-0.17439	1.0122	0.011237	-0.27213	0.36363	0.99929	5.0657e-07
Hs 578T	GW843682	0.13827	-0.13326	0.82941	0.14723	-0.079838	2.3585	0.98197	0.00032523
Hs 578T	Gefitinib	24.3134	0.84902	0.025906	18.7878	0.22103	2.2632	0.967	0.0010889
Hs 578T	Geldanamycin	0.067992	-0.087424	0.82791	0.06526	0.039355	1.9991	0.93264	0.0045375
Hs 578T	HG-5-113-01	0.88583	-0.029389	0.46775	1.0697	-0.11935	1.1347	0.99773	5.1607e-06
Hs 578T	HG-5-88-01	45.7646	0.65785	0.13813	768.1406	-1	0.38951	0.90321	0.0093692
Hs 578T	HG-6-64-01	0.81189	-0.32208	0.52272	1.6504	-0.51388	0.9965	0.99113	7.8626e-05
Hs 578T	Imatinib	Inf	1.0357	-0.015763	0	1	0.01	-0.77144	0.9998
Hs 578T	JNK-9L	1.1281	-0.091472	0.41831	1.2867	-0.1255	1.7028	0.99926	5.4554e-07
Hs 578T	JW-7-24-1	1.6055	-0.17815	0.40561	7.2715	-1	0.72729	0.97952	0.00041923
Hs 578T	KIN001-043	6.1695	0.39923	0.066712	4.5666	0.38673	4.9355	0.99388	3.7474e-05
Hs 578T	LDN-193189	2.4359	-0.34396	0.34627	5.0482	-0.87013	1.3833	0.98862	0.00012959
Hs 578T	Lapatinib	10.9295	0.6202	0.049635	11.5578	-0.16122	5	0.98264	0.00030122
Hs 578T	Linifanib	14.4552	0.68742	0.056854	28.5735	-0.99483	1.6072	0.97979	0.00040831
Hs 578T	Linsitinib	Inf	0.84342	0.052887	0	0.94031	0.01	-8.8818e-16	0.1342
Hs 578T	MK2206	9.8724	0.45459	0.3187	0.87044	0.31844	0.41714	0.81255	0.035139
Hs 578T	Mitoxantrone	-Inf	-0.44598	1.1623	0.11969	-1	0.2072	0.96638	0.0011303
Hs 578T	NU7441	4.1474	0.14095	0.23806	14.3665	-1	0.88425	0.99136	7.4588e-05
Hs 578T	NVP-AEW541	8.5525	0.16955	0.074493	10.4698	-0.87469	5	0.99781	4.8026e-06
Hs 578T	NVP-AUY922	-Inf	0.067008	0.92186	0	0.077846	0.01	0	1
Hs 578T	NVP-TAE684	0.5124	-0.17865	0.59407	4.9781	-1	0.48319	0.98096	0.00036252
Hs 578T	Neratinib	0.97018	0.029406	0.47058	3.6785	-0.52658	0.53976	0.99808	3.6924e-06
Hs 578T	Nilotinib	8.1363	0.032679	0.033209	10.1356	-0.99999	5	0.97002	0.00089886
Hs 578T	Nintedanib	1.8905	0.095985	0.37751	14.5438	-0.99792	0.53777	0.99741	6.686e-06
Hs 578T	OSI-027	1.0441	0.1944	0.39521	0.71754	0.17048	1.1117	0.99513	2.3756e-05
Hs 578T	PD0325901	0.048396	0.061377	0.72239	0.22632	-0.26991	0.27984	0.99392	3.6942e-05
Hs 578T	PD173074	5.6791	0.1674	0.23268	13.9258	-1	1.2248	0.78321	0.046996
Hs 578T	PD184352	1.7086	0.2634	0.42266	96.447	-1	0.27238	0.96833	0.0010027
Hs 578T	PF431396	0.40273	-0.08809	0.59805	2.9558	-0.69998	0.43921	0.98423	0.00024884
Hs 578T	PF477736	0.14854	-0.088311	0.77797	0.15573	-0.049535	2.0003	0.99705	8.6992e-06
Hs 578T	PF562271	1.7135	-0.086088	0.3962	9.7263	-1	0.63273	0.96039	0.0015687
Hs 578T	PHA-665752	7.2192	0.013843	0.11575	9.9588	-0.95856	3.3278	0.99745	6.5e-06
Hs 578T	PHA-793887	0.047127	-0.14568	0.83099	0.22271	-0.41071	0.3861	0.9886	0.00013001
Hs 578T	PI103	0.083372	0.10237	0.71969	0.062208	0.12799	1.0097	0.98998	0.00010036
Hs 578T	PIK-93	4.2032	0.18117	0.17996	4.1958	0.0015451	1.747	0.99941	3.5281e-07
Hs 578T	PLX-4720	Inf	0.77564	-0.04349	0	1	0.01	-0.030022	0.13781
Hs 578T	Palbociclib	0.2958	0.32334	0.52932	0.051981	0.29278	0.50657	0.98807	0.00014241
Hs 578T	Pelitinib	3.1785	-0.11923	0.28728	8.6066	-1	1.1029	0.9764	0.00055708
Hs 578T	QL-X-138	1.0641	-0.047198	0.46429	10.9262	-1	0.4717	0.96988	0.0009075
Hs 578T	QL-XII-47	0.86789	-0.11684	0.49944	2.7911	-0.59497	0.67106	0.99777	4.9739e-06
Hs 578T	R406	3.4838	0.11431	0.27435	14.5494	-1	0.76857	0.98418	0.00025034
Hs 578T	Radicicol	0.63559	0.054301	0.48461	0.60178	0.041105	1.5696	0.99765	5.5427e-06
Hs 578T	Rapamycin	Inf	0.62472	0.37243	0	0.62827	0.01	-5.3726e-12	1
Hs 578T	Ruxolitinib	18.7179	0.6932	0.070965	55.9887	-0.9933	0.9986	0.9829	0.00029258
Hs 578T	SB590885	9.1363	0.31145	-0.042527	11.3811	-0.99983	5	0.85232	0.021808
Hs 578T	SU11274	6.2515	0.15915	0.15219	12.2964	-1	1.624	0.98251	0.00030606
Hs 578T	Saracatinib	5.1082	0.34341	0.25107	39.9959	-0.99902	0.53353	0.9844	0.00024347
Hs 578T	Selumetinib	0.32917	0.25974	0.54573	2.6362	-0.27517	0.21075	0.97944	0.00042262
Hs 578T	Sigma A6730	8.2835	0.39451	0.14114	21.0467	-1	1.1782	0.92524	0.0055884
Hs 578T	Sorafenib	Inf	0.85868	-0.1124	0	1	0.01	-0.75951	0.68847
Hs 578T	TG 101348	1.7835	-0.16157	0.36096	3.3566	-0.50561	1.105	0.99901	9.8109e-07
Hs 578T	TGX221	Inf	0.65654	0.16224	0	0.83412	0.01	-1.1106e-11	0.059751
Hs 578T	TWS119	4.6245	-0.06669	0.19625	9.2754	-1	1.5785	0.99529	2.223e-05
Hs 578T	Torin1	-Inf	-0.080517	0.87452	4.6586	-1	0.12291	0.96924	0.00094646
Hs 578T	Torin2	-Inf	-0.11946	0.99861	0.0059991	-0.14096	0.4671	0.97394	0.00067903
Hs 578T	Tozasertib	-Inf	0.052639	0.90697	0	0.092249	0.01	-1.2212e-14	1
Hs 578T	Trametinib	-Inf	0.1762	0.80491	0	0.20017	0.01	-5.2958e-13	1
Hs 578T	Vemurafenib	Inf	0.54022	0.054607	4.0959	0.53477	4.9687	0.98496	0.00022628
Hs 578T	WH-4-025	0.2387	-0.32127	0.75397	0.38225	-0.30931	1.0227	0.98209	0.00032071
Hs 578T	WYE-125132	-Inf	0.11161	0.80634	0.00060818	-0.20974	0.10011	0.87532	0.015545
Hs 578T	WZ-4-145	0.74815	0.029693	0.49127	25.8026	-1	0.31029	0.86788	0.017457
Hs 578T	WZ3105	-Inf	-0.13645	1.126	0	-0.12504	0.01	0	1
Hs 578T	Withaferin A	0.62668	-0.27929	0.56741	0.66973	-0.1818	4.6675	0.98996	0.00010071
Hs 578T	XL147	40.1169	0.83262	0.032501	44.7098	-0.064858	1.1252	0.99754	6.0367e-06
Hs 578T	XMD11-50	2.1319	-0.046984	0.35204	9.4591	-1	0.73735	0.99492	2.5856e-05
Hs 578T	XMD11-85h	7.0981	0.27084	0.14751	14.4448	-1	1.5462	0.97139	0.00081858
Hs 578T	XMD16-144	-Inf	-0.14664	0.92228	2.0214	-1	0.13329	0.8981	0.010384
Hs 578T	Y39983	3.2247	0.033021	0.30309	13.4817	-1	0.768	0.88911	0.012296
Hs 578T	YM 201636	4.889	0.12921	0.18861	12.6345	-1	1.1571	0.99749	6.321e-06
Hs 578T	ZSTK474	0.52697	0.15468	0.52352	0.63051	-0.04609	0.49153	0.99478	2.7201e-05
MCF 10A	(R)- Roscovitine	9.4381	0.45678	0.091302	16.8906	-0.99585	1.8829	0.98546	0.00021144
MCF 10A	A443654	0.19272	-0.26552	0.79375	0.29743	-0.28569	1.0415	0.99302	4.8767e-05
MCF 10A	AT-7519	0.28016	-0.30624	0.77686	0.35338	-0.28905	1.9648	0.99934	4.3592e-07
MCF 10A	AZD 5438	0.30163	-0.20361	0.72376	0.39622	-0.23844	1.4296	0.99833	2.7756e-06
MCF 10A	AZD-6482	8.2232	0.39883	0.14037	21.8136	-1	1.1261	0.95853	0.0017194
MCF 10A	AZD7762	0.77592	-0.18363	0.528	5.7831	-1	0.54694	0.99407	3.5147e-05
MCF 10A	AZD8055	0.031387	0.0094927	0.78567	0.030026	0.011327	0.51705	0.94042	0.0035502
MCF 10A	AZD8330	-Inf	0.15139	0.86537	0	0.13539	0.01	0	1
MCF 10A	Afatinib	-Inf	0.034612	0.95278	0	0.046834	0.01	0	1
MCF 10A	BEZ235	0.028593	0.16918	0.78191	0.020164	0.17063	1.1952	0.96463	0.0012509
MCF 10A	BI-2536	-Inf	-0.027713	1.0248	0	-0.026703	0.01	-2.4516e-12	1
MCF 10A	BMS-387032	0.075966	-0.27681	1.0761	0.086282	-0.25998	3.2881	0.99767	5.4117e-06
MCF 10A	BMS345541	52.3589	0.8455	0.039668	182.287	-0.95862	0.85825	0.9404	0.0035518
MCF 10A	BX-912	0.518	0.078316	0.50561	0.46576	0.1012	2.1272	0.99107	7.9738e-05
MCF 10A	BYL719	8.8997	0.44612	0.16742	42.3892	-1	0.70384	0.96873	0.00097756
MCF 10A	Barasertib	-Inf	0.13407	0.8646	0	0.13921	0.01	0	1
MCF 10A	Brivanib	6.513	0.31193	0.15916	18.9538	-1	1.0285	0.99702	8.8781e-06
MCF 10A	Buparlisib	1.1277	-0.19583	0.44824	1.5503	-0.28415	1.4139	0.99973	7.3851e-08
MCF 10A	CGP60474	0.037622	-0.24971	1.1707	0.042246	-0.24533	3.444	0.99977	5.0936e-08
MCF 10A	CHIR-99021	Inf	0.79583	0.052781	5.8086	0.68431	1.0891	0.98892	0.00012281
MCF 10A	CP466722	18.9801	0.73856	0.026891	12.2512	0.31952	2.3277	0.98852	0.0001317
MCF 10A	CP724714	Inf	0.93577	0.014213	199.0729	-0.082663	0.93398	0.90373	0.0092686
MCF 10A	CYT387	4.3139	0.17971	0.24341	17.2842	-1	0.79153	0.9741	0.00067091
MCF 10A	Canertinib	0.18894	-0.40812	0.73564	2.5403	-1	0.42277	0.93999	0.0036006
MCF 10A	Celastrol	0.92217	-0.24646	0.49603	1.0208	-0.19635	3.2595	0.99017	9.6697e-05
MCF 10A	Crizotinib	6.0693	0.090763	0.16802	11.1209	-1	1.8141	0.98078	0.00036942
MCF 10A	Dasatinib	0.085244	-0.13074	0.80241	0.146	-0.19261	0.60557	0.99306	4.8146e-05
MCF 10A	Dovitinib	0.63804	0.02962	0.49782	0.65746	-0.015829	1.0397	0.99417	3.3957e-05
MCF 10A	Enzastaurin	Inf	0.97717	-0.0029557	0	0.99989	0.01	-0.0088366	0.1565
MCF 10A	Erlotinib	0.30294	0.138	0.58274	0.26473	0.11704	1.9778	0.99421	3.3569e-05
MCF 10A	Flavopiridol	0.027994	-0.29148	1.2235	0.034457	-0.29275	2.2191	0.99821	3.1976e-06
MCF 10A	Foretinib	1.0198	-0.03541	0.40726	1.0372	-0.015806	1.8382	0.99347	4.269e-05
MCF 10A	GDC-0941	0.86248	0.10633	0.46992	1.3511	-0.15397	0.5981	0.99722	7.7532e-06
MCF 10A	GDC-0980	0.14967	0.042769	0.70427	0.13653	0.05308	1.2211	0.99858	2.0061e-06
MCF 10A	GSK 690693	Inf	0.86423	0.085894	0.30418	0.86791	1.6934	0.94881	0.0026199
MCF 10A	GSK1059615	0.47421	-0.094955	0.58501	0.53521	-0.10266	1.5433	0.99922	6.0816e-07
MCF 10A	GSK1904529A	Inf	0.63994	0.33283	0.0077264	0.62431	0.52679	0.91661	0.0069531
MCF 10A	GSK2126458	-Inf	-0.12284	1.015	0.0004	-0.50632	0.1	0.89079	0.011926
MCF 10A	GW843682	0.30024	-0.11839	0.67988	0.34956	-0.12715	1.4899	0.99998	2.9956e-10
MCF 10A	Gefitinib	0.15703	0.10245	0.68172	0.13518	0.1016	1.5159	0.99865	1.8202e-06
MCF 10A	Geldanamycin	-Inf	-0.17153	1.0555	0.0033864	-0.1612	0.49291	0.90876	0.0083249
MCF 10A	HG-5-113-01	2.0918	-0.052111	0.34865	6.1355	-0.75319	0.85387	0.99726	7.4848e-06
MCF 10A	HG-5-88-01	7.7862	0.45292	0.26439	154.7489	-0.98566	0.36428	0.97758	0.0005028
MCF 10A	HG-6-64-01	4.021	-0.0044463	0.21843	9.9556	-1	1.2118	0.99964	1.2782e-07
MCF 10A	Imatinib	Inf	1.0005	-0.004047	0	1	0.01	-0.3856	1
