cell_line	small_molecule	concentration	cell_count	cell_count__ctrl	cell_count__time0	GRvalue
BT-20	BEZ235	0.37	1557	4489	1362.6667	0.080595
BT-20	BEZ235	1.11	1520.6667	4489	1362.6667	0.065862
BT-20	BEZ235	3.33	1492	4489	1362.6667	0.054133
BT-20	BEZ235	10	1611.6667	4489	1362.6667	0.10249
BT-20	BI-2536	0.04	1018	4327	1362.6667	-0.16049
BT-20	BI-2536	0.12	977	4327	1362.6667	-0.18094
BT-20	BI-2536	0.37	989.3333	4327	1362.6667	-0.17475
BT-20	BI-2536	1.11	1049	4327	1362.6667	-0.14524
BT-20	BI-2536	3.33	1091.3333	4327	1362.6667	-0.12471
BT-20	BI-2536	10	1104.3333	4327	1362.6667	-0.11847
BT-20	BMS-387032	0.04	3896	4327	1362.6667	0.87799
BT-20	BMS-387032	0.12	1679	4327	1362.6667	0.13341
BT-20	BMS-387032	0.37	880	4327	1362.6667	-0.23074
BT-20	BMS-387032	1.11	732.6667	4327	1362.6667	-0.31081
BT-20	BMS-387032	3.33	723.6667	4327	1362.6667	-0.31591
BT-20	BMS-387032	10	784	4327	1362.6667	-0.28224
BT-20	BMS345541	0.04	4354	4327	1362.6667	1.0075
BT-20	BMS345541	0.12	4242	4327	1362.6667	0.97634
BT-20	BMS345541	0.37	4195.6667	4327	1362.6667	0.96336
BT-20	BMS345541	1.11	3813.6667	4327	1362.6667	0.85408
BT-20	BMS345541	3.33	3566.3333	4327	1362.6667	0.78098
BT-20	BMS345541	10	1381.3333	4327	1362.6667	0.0081955
BT-20	BX-912	0.04	4093.6667	4489	1362.6667	0.89562
BT-20	BX-912	0.12	4254.3333	4489	1362.6667	0.93853
BT-20	BX-912	0.37	4275	4489	1362.6667	0.944
BT-20	BX-912	1.11	4243	4489	1362.6667	0.93553
BT-20	BX-912	3.33	3833.6667	4489	1362.6667	0.82466
BT-20	BX-912	10	2291.3333	4489	1362.6667	0.35277
BT-20	BYL719	0.04	4647.6667	4489	1362.6667	1.0408
BT-20	BYL719	0.12	4381	4489	1362.6667	0.97188
BT-20	BYL719	0.37	3458.6667	4489	1362.6667	0.71866
BT-20	BYL719	1.11	2917.6667	4489	1362.6667	0.55683
BT-20	BYL719	3.33	1675	4489	1362.6667	0.12748
BT-20	BYL719	10	1040	4489	1362.6667	-0.14539
BT-20	Barasertib	0.04	3837	4489	1362.6667	0.82559
BT-20	Barasertib	0.12	3079.3333	4489	1362.6667	0.60641
BT-20	Barasertib	0.37	2460.3333	4489	1362.6667	0.40991
BT-20	Barasertib	1.11	1964.3333	4489	1362.6667	0.23692
BT-20	Barasertib	3.33	1681	4489	1362.6667	0.12983
BT-20	Barasertib	10	1331.6667	4489	1362.6667	-0.01329
BT-20	Brivanib	0.04	4283.3333	4489	1362.6667	0.9462
BT-20	Brivanib	0.12	4244	4489	1362.6667	0.93579
BT-20	Brivanib	0.37	4313.6667	4489	1362.6667	0.9542
BT-20	Brivanib	1.11	4206	4489	1362.6667	0.9257
BT-20	Brivanib	3.33	4176.6667	4489	1362.6667	0.91788
BT-20	Brivanib	10	3730	4489	1362.6667	0.79581
BT-20	Buparlisib	0.04	4538.6667	4489	1362.6667	1.0128
BT-20	Buparlisib	0.12	4013.6667	4489	1362.6667	0.874
BT-20	Buparlisib	0.37	2772.3333	4489	1362.6667	0.51126
BT-20	Buparlisib	1.11	1402.3333	4489	1362.6667	0.016823
BT-20	Buparlisib	3.33	825.6667	4489	1362.6667	-0.2527
BT-20	Buparlisib	10	669.3333	4489	1362.6667	-0.33856
BT-20	CGP60474	0.04	2471.6667	4408	1362.6667	0.4213
BT-20	CGP60474	0.12	973.5	4408	1362.6667	-0.18009
BT-20	CGP60474	0.37	808.3333	4408	1362.6667	-0.26533
BT-20	CGP60474	1.11	758.6667	4408	1362.6667	-0.29233
BT-20	CGP60474	3.33	674	4408	1362.6667	-0.34008
BT-20	CGP60474	10	565.5	4408	1362.6667	-0.40505
BT-20	CHIR-99021	0.04	4086.6667	4327	1362.6667	0.9326
BT-20	CHIR-99021	0.12	4131.6667	4327	1362.6667	0.94534
BT-20	CHIR-99021	0.37	4214.6667	4327	1362.6667	0.96869
BT-20	CHIR-99021	1.11	4353.6667	4327	1362.6667	1.0074
BT-20	CHIR-99021	3.33	4365.3333	4327	1362.6667	1.0106
BT-20	CHIR-99021	10	3889.3333	4327	1362.6667	0.87606
BT-20	CP466722	0.04	4763.6667	4489	1362.6667	1.0703
BT-20	CP466722	0.12	4598	4489	1362.6667	1.0281
BT-20	CP466722	0.37	4553.6667	4489	1362.6667	1.0167
BT-20	CP466722	1.11	4574.3333	4489	1362.6667	1.022
BT-20	CP466722	3.33	4309.3333	4489	1362.6667	0.95306
BT-20	CP466722	10	3011.3333	4489	1362.6667	0.58569
BT-20	CP724714	0.04	4214.3333	4489	1362.6667	0.92791
BT-20	CP724714	0.12	4168.3333	4489	1362.6667	0.91565
BT-20	CP724714	0.37	4065.3333	4489	1362.6667	0.88798
BT-20	CP724714	1.11	3750.6667	4489	1362.6667	0.80159
BT-20	CP724714	3.33	3626.3333	4489	1362.6667	0.76662
BT-20	CP724714	10	2863	4489	1362.6667	0.5398
BT-20	CYT387	0.04	4173	4489	1362.6667	0.9169
BT-20	CYT387	0.12	3983	4489	1362.6667	0.86566
BT-20	CYT387	0.37	3839.3333	4489	1362.6667	0.82623
BT-20	CYT387	1.11	3537.3333	4489	1362.6667	0.74128
BT-20	CYT387	3.33	2972.3333	4489	1362.6667	0.57372
BT-20	CYT387	10	1557.6667	4489	1362.6667	0.080864
BT-20	Canertinib	0.04	3957.3333	4327	1362.6667	0.89567
BT-20	Canertinib	0.12	3907.3333	4327	1362.6667	0.88127
BT-20	Canertinib	0.37	3728	4327	1362.6667	0.82898
BT-20	Canertinib	1.11	3683	4327	1362.6667	0.81571
BT-20	Canertinib	3.33	3321.3333	4327	1362.6667	0.70654
BT-20	Canertinib	10	1081	4327	1362.6667	-0.1297
BT-20	Celastrol	0.04	4607.6667	4327	1362.6667	1.0768
BT-20	Celastrol	0.12	4676.3333	4327	1362.6667	1.0954
BT-20	Celastrol	0.37	3840.3333	4327	1362.6667	0.86185
BT-20	Celastrol	1.11	2136	4327	1362.6667	0.30951
BT-20	Celastrol	3.33	827.6667	4327	1362.6667	-0.25852
BT-20	Celastrol	10	597.6667	4327	1362.6667	-0.39008
BT-20	Crizotinib	0.04	3760	4489	1362.6667	0.8042
BT-20	Crizotinib	0.12	4135	4489	1362.6667	0.90673
BT-20	Crizotinib	0.37	3834.6667	4489	1362.6667	0.82494
BT-20	Crizotinib	1.11	3556.6667	4489	1362.6667	0.74681
BT-20	Crizotinib	3.33	2481.3333	4489	1362.6667	0.4169
BT-20	Crizotinib	10	1267	4489	1362.6667	-0.041439
BT-20	Dasatinib	0.04	3158	4408	1362.6667	0.64255
BT-20	Dasatinib	0.12	2318.8333	4408	1362.6667	0.36873
BT-20	Dasatinib	0.37	1585.5	4408	1362.6667	0.093544
BT-20	Dasatinib	1.11	1380.8333	4408	1362.6667	0.00785
BT-20	Dasatinib	3.33	1161.5	4408	1362.6667	-0.089999
BT-20	Dasatinib	10	1008.5	4408	1362.6667	-0.16281
BT-20	Dovitinib	0.04	3852.3333	4489	1362.6667	0.82982
BT-20	Dovitinib	0.12	3336.3333	4489	1362.6667	0.68305
BT-20	Dovitinib	0.37	2446	4489	1362.6667	0.40513
BT-20	Dovitinib	1.11	2178	4489	1362.6667	0.31345
BT-20	Dovitinib	3.33	1930.3333	4489	1362.6667	0.22443
BT-20	Dovitinib	10	1797.6667	4489	1362.6667	0.17478
BT-20	Enzastaurin	0.04	4600	4489	1362.6667	1.0286
BT-20	Enzastaurin	0.12	4635.6667	4489	1362.6667	1.0377
BT-20	Enzastaurin	0.37	4782.6667	4489	1362.6667	1.0751
BT-20	Enzastaurin	1.11	4812	4489	1362.6667	1.0825
BT-20	Enzastaurin	3.33	5057.6667	4489	1362.6667	1.1436
BT-20	Enzastaurin	10	5284.3333	4489	1362.6667	1.199
BT-20	Erlotinib	0.04	3958.3333	4489	1362.6667	0.85893
BT-20	Erlotinib	0.12	4029.3333	4489	1362.6667	0.87825
BT-20	Erlotinib	0.37	4104.3333	4489	1362.6667	0.89849
BT-20	Erlotinib	1.11	3873.3333	4489	1362.6667	0.83562
BT-20	Erlotinib	3.33	3937	4489	1362.6667	0.8531
BT-20	Erlotinib	10	2885.3333	4489	1362.6667	0.54677
BT-20	Flavopiridol	0.04	2238	4327	1362.6667	0.34667
BT-20	Flavopiridol	0.12	1197.3333	4327	1362.6667	-0.074661
BT-20	Flavopiridol	0.37	867	4327	1362.6667	-0.23758
BT-20	Flavopiridol	1.11	704	4327	1362.6667	-0.32712
BT-20	Flavopiridol	3.33	729	4327	1362.6667	-0.31289
BT-20	Flavopiridol	10	690.6667	4327	1362.6667	-0.33479
BT-20	Foretinib	0.04	4582.3333	4489	1362.6667	1.0241
BT-20	Foretinib	0.12	3765	4489	1362.6667	0.80559
BT-20	Foretinib	0.37	2058.6667	4489	1362.6667	0.27112
BT-20	Foretinib	1.11	1354.6667	4489	1362.6667	-0.0034176
BT-20	Foretinib	3.33	1321.6667	4489	1362.6667	-0.017605
BT-20	Foretinib	10	1107	4489	1362.6667	-0.1138
BT-20	GDC-0941	0.04	3385.3333	4327	1362.6667	0.72619
BT-20	GDC-0941	0.12	3301.6667	4327	1362.6667	0.70047
BT-20	GDC-0941	0.37	2685.3333	4327	1362.6667	0.50223
BT-20	GDC-0941	1.11	2009.6667	4327	1362.6667	0.26248
BT-20	GDC-0941	3.33	1519.3333	4327	1362.6667	0.067465
BT-20	GDC-0941	10	1250	4327	1362.6667	-0.050454
BT-20	GDC-0980	0.04	2310.3333	4489	1362.6667	0.35928
BT-20	GDC-0980	0.12	1530.3333	4489	1362.6667	0.069796
BT-20	GDC-0980	0.37	1222.6667	4489	1362.6667	-0.061085
BT-20	GDC-0980	1.11	1077.6667	4489	1362.6667	-0.12753
BT-20	GDC-0980	3.33	987	4489	1362.6667	-0.17099
BT-20	GDC-0980	10	944.3333	4489	1362.6667	-0.19202
BT-20	GSK 690693	0.04	3811.6667	4489	1362.6667	0.81857
BT-20	GSK 690693	0.12	3677.6667	4489	1362.6667	0.78112
BT-20	GSK 690693	0.37	3222.3333	4489	1362.6667	0.64937
BT-20	GSK 690693	1.11	2846	4489	1362.6667	0.53448
BT-20	GSK 690693	3.33	2618.6667	4489	1362.6667	0.46198
BT-20	GSK 690693	10	2363.6667	4489	1362.6667	0.37743
BT-20	GSK1059615	0.04	4167.6667	4408	1362.6667	0.93488
BT-20	GSK1059615	0.12	3124	4408	1362.6667	0.63209
BT-20	GSK1059615	0.37	1805.5	4408	1362.6667	0.18074
BT-20	GSK1059615	1.11	919.3333	4408	1362.6667	-0.20734
BT-20	GSK1059615	3.33	686.8333	4408	1362.6667	-0.33269
BT-20	GSK1059615	10	533.6667	4408	1362.6667	-0.42506
BT-20	GSK1904529A	0.04	3726.3333	4327	1362.6667	0.82849
BT-20	GSK1904529A	0.12	3973	4327	1362.6667	0.90017
BT-20	GSK1904529A	0.37	4033	4327	1362.6667	0.91733
BT-20	GSK1904529A	1.11	4113.6667	4327	1362.6667	0.94025
BT-20	GSK1904529A	3.33	4185	4327	1362.6667	0.96036
BT-20	GSK1904529A	10	4333.6667	4327	1362.6667	1.0018
BT-20	GSK2126458	0.04	1190	4327	1362.6667	-0.078065
BT-20	GSK2126458	0.12	1070.6667	4327	1362.6667	-0.1347
BT-20	GSK2126458	0.37	923.6667	4327	1362.6667	-0.20806
BT-20	GSK2126458	1.11	811	4327	1362.6667	-0.26751
BT-20	GSK2126458	3.33	758.3333	4327	1362.6667	-0.29643
BT-20	GSK2126458	10	679	4327	1362.6667	-0.34156
BT-20	GW843682	0.04	3826.3333	4327	1362.6667	0.85777
BT-20	GW843682	0.12	3010	4327	1362.6667	0.60869
BT-20	GW843682	0.37	2173	4327	1362.6667	0.32307
BT-20	GW843682	1.11	1344	4327	1362.6667	-0.0082405
BT-20	GW843682	3.33	1082.6667	4327	1362.6667	-0.12889
BT-20	GW843682	10	1333.3333	4327	1362.6667	-0.01297
BT-20	Gefitinib	0.04	4490.6667	4327	1362.6667	1.045
BT-20	Gefitinib	0.12	4228	4327	1362.6667	0.97242
BT-20	Gefitinib	0.37	4121.6667	4327	1362.6667	0.94251
BT-20	Gefitinib	1.11	4014	4327	1362.6667	0.91191
BT-20	Gefitinib	3.33	3897.6667	4327	1362.6667	0.87847
BT-20	Gefitinib	10	3498	4327	1362.6667	0.76043
BT-20	Geldanamycin	0.04	2051.3333	4408	1362.6667	0.27317
BT-20	Geldanamycin	0.12	1412.1667	4408	1362.6667	0.021291
BT-20	Geldanamycin	0.37	1279	4408	1362.6667	-0.036721
BT-20	Geldanamycin	1.11	1289.3333	4408	1362.6667	-0.032134
BT-20	Geldanamycin	3.33	1150	4408	1362.6667	-0.095329
BT-20	Geldanamycin	10	903	4408	1362.6667	-0.21569
BT-20	HG-5-113-01	0.04	4302.6667	4489	1362.6667	0.95131
BT-20	HG-5-113-01	0.12	4049	4489	1362.6667	0.88357
BT-20	HG-5-113-01	0.37	3682.6667	4489	1362.6667	0.78253
BT-20	HG-5-113-01	1.11	3070	4489	1362.6667	0.60358
BT-20	HG-5-113-01	3.33	2140.3333	4489	1362.6667	0.3002
BT-20	HG-5-113-01	10	1030	4489	1362.6667	-0.15018
BT-20	HG-5-88-01	0.04	3492	4327	1362.6667	0.75862
BT-20	HG-5-88-01	0.12	4077	4327	1362.6667	0.92986
BT-20	HG-5-88-01	0.37	4123.3333	4327	1362.6667	0.94298
BT-20	HG-5-88-01	1.11	3938.6667	4327	1362.6667	0.8903
BT-20	HG-5-88-01	3.33	3763.6667	4327	1362.6667	0.83946
BT-20	HG-5-88-01	10	2408.3333	4327	1362.6667	0.40725
BT-20	HG-6-64-01	0.04	4497.6667	4327	1362.6667	1.047
BT-20	HG-6-64-01	0.12	4118.6667	4327	1362.6667	0.94166
BT-20	HG-6-64-01	0.37	3793.6667	4327	1362.6667	0.84824
BT-20	HG-6-64-01	1.11	3120.3333	4327	1362.6667	0.64381
BT-20	HG-6-64-01	3.33	2236.6667	4327	1362.6667	0.34619
BT-20	HG-6-64-01	10	1002	4327	1362.6667	-0.16843
BT-20	Imatinib	0.04	4354	4327	1362.6667	1.0075
BT-20	Imatinib	0.12	4421.3333	4327	1362.6667	1.026
BT-20	Imatinib	0.37	4308	4327	1362.6667	0.99473
BT-20	Imatinib	1.11	4416.6667	4327	1362.6667	1.0248
BT-20	Imatinib	3.33	4310.6667	4327	1362.6667	0.99547
BT-20	Imatinib	10	4254	4327	1362.6667	0.97969
BT-20	JNK-9L	0.04	3670.6667	4327	1362.6667	0.81206
BT-20	JNK-9L	0.12	3578.3333	4327	1362.6667	0.78457
BT-20	JNK-9L	0.37	2922.3333	4327	1362.6667	0.58042
BT-20	JNK-9L	1.11	1911.6667	4327	1362.6667	0.22518
BT-20	JNK-9L	3.33	1417	4327	1362.6667	0.023733
BT-20	JNK-9L	10	914	4327	1362.6667	-0.21304
BT-20	JW-7-24-1	0.04	3650	4327	1362.6667	0.80593
BT-20	JW-7-24-1	0.12	3929.6667	4327	1362.6667	0.88771
BT-20	JW-7-24-1	0.37	3707	4327	1362.6667	0.8228
BT-20	JW-7-24-1	1.11	3509	4327	1362.6667	0.76375
BT-20	JW-7-24-1	3.33	3071	4327	1362.6667	0.62817
BT-20	JW-7-24-1	10	1337.6667	4327	1362.6667	-0.011047
BT-20	KIN001-043	0.04	4226.6667	4327	1362.6667	0.97205
BT-20	KIN001-043	0.12	4125.6667	4327	1362.6667	0.94364
BT-20	KIN001-043	0.37	4175	4327	1362.6667	0.95755
BT-20	KIN001-043	1.11	4226.6667	4327	1362.6667	0.97205
BT-20	KIN001-043	3.33	4203	4327	1362.6667	0.96542
BT-20	KIN001-043	10	2614.3333	4327	1362.6667	0.47828
BT-20	LDN-193189	0.04	4450	4489	1362.6667	0.98988
BT-20	LDN-193189	0.12	4130.3333	4489	1362.6667	0.90548
BT-20	LDN-193189	0.37	4186	4489	1362.6667	0.92037
BT-20	LDN-193189	1.11	3316.6667	4489	1362.6667	0.67728
BT-20	LDN-193189	3.33	1330.6667	4489	1362.6667	-0.013721
BT-20	LDN-193189	10	423.6667	4489	1362.6667	-0.49299
BT-20	Lapatinib	0.04	3849	4327	1362.6667	0.86437
BT-20	Lapatinib	0.12	4179	4327	1362.6667	0.95868
BT-20	Lapatinib	0.37	4217.6667	4327	1362.6667	0.96953
BT-20	Lapatinib	1.11	4267.6667	4327	1362.6667	0.9835
BT-20	Lapatinib	3.33	4144.3333	4327	1362.6667	0.94891
BT-20	Lapatinib	10	3461.3333	4327	1362.6667	0.74934
BT-20	Linifanib	0.04	4675.6667	4327	1362.6667	1.0952
BT-20	Linifanib	0.12	4591.6667	4327	1362.6667	1.0725
BT-20	Linifanib	0.37	4605.3333	4327	1362.6667	1.0762
BT-20	Linifanib	1.11	4616	4327	1362.6667	1.0791
BT-20	Linifanib	3.33	4446.6667	4327	1362.6667	1.033
BT-20	Linifanib	10	2798.3333	4327	1362.6667	0.53984
BT-20	Linsitinib	0.04	3891.3333	4489	1362.6667	0.84057
BT-20	Linsitinib	0.12	4097.6667	4489	1362.6667	0.8967
BT-20	Linsitinib	0.37	4253	4489	1362.6667	0.93818
BT-20	Linsitinib	1.11	4169.3333	4489	1362.6667	0.91592
BT-20	Linsitinib	3.33	4063.6667	4489	1362.6667	0.88753
BT-20	Linsitinib	10	3707.3333	4489	1362.6667	0.78946
BT-20	MK2206	0.04	4245	4327	1362.6667	0.97718
BT-20	MK2206	0.12	3989	4327	1362.6667	0.90476
BT-20	MK2206	0.37	3235	4327	1362.6667	0.67979
BT-20	MK2206	1.11	2932.3333	4327	1362.6667	0.58366
BT-20	MK2206	3.33	2540.3333	4327	1362.6667	0.45303
BT-20	MK2206	10	1593.6667	4327	1362.6667	0.098495
BT-20	Mitoxantrone	0.04	2038.8333	4408	1362.6667	0.26859
BT-20	Mitoxantrone	0.12	1506.6667	4408	1362.6667	0.061106
BT-20	Mitoxantrone	0.37	1181.1667	4408	1362.6667	-0.080933
BT-20	Mitoxantrone	1.11	966.5	4408	1362.6667	-0.18358
BT-20	Mitoxantrone	3.33	886.6667	4408	1362.6667	-0.22409
BT-20	Mitoxantrone	10	548.5	4408	1362.6667	-0.41567
BT-20	NU7441	0.04	4698	4489	1362.6667	1.0536
BT-20	NU7441	0.12	4585.3333	4489	1362.6667	1.0248
BT-20	NU7441	0.37	4497.3333	4489	1362.6667	1.0022
BT-20	NU7441	1.11	4356	4489	1362.6667	0.96533
BT-20	NU7441	3.33	3989.3333	4489	1362.6667	0.86738
BT-20	NU7441	10	2053	4489	1362.6667	0.26908
BT-20	NVP-AEW541	0.04	4591.6667	4489	1362.6667	1.0265
BT-20	NVP-AEW541	0.12	4597.3333	4489	1362.6667	1.0279
BT-20	NVP-AEW541	0.37	4616	4489	1362.6667	1.0327
BT-20	NVP-AEW541	1.11	4505	4489	1362.6667	1.0041
BT-20	NVP-AEW541	3.33	4607.6667	4489	1362.6667	1.0306
BT-20	NVP-AEW541	10	4009	4489	1362.6667	0.87273
BT-20	NVP-AUY922	0.04	1309.3333	4489	1362.6667	-0.022946
BT-20	NVP-AUY922	0.12	1301.6667	4489	1362.6667	-0.026276
BT-20	NVP-AUY922	0.37	1289	4489	1362.6667	-0.031796
BT-20	NVP-AUY922	1.11	1297	4489	1362.6667	-0.028307
BT-20	NVP-AUY922	3.33	1294.3333	4489	1362.6667	-0.029469
BT-20	NVP-AUY922	10	1349	4489	1362.6667	-0.0058434
BT-20	NVP-TAE684	0.04	4453.6667	4327	1362.6667	1.0349
BT-20	NVP-TAE684	0.12	3499.3333	4327	1362.6667	0.76083
BT-20	NVP-TAE684	0.37	4196	4327	1362.6667	0.96345
BT-20	NVP-TAE684	1.11	3693.3333	4327	1362.6667	0.81876
BT-20	NVP-TAE684	3.33	2515.3333	4327	1362.6667	0.44443
BT-20	NVP-TAE684	10	1676	4327	1362.6667	0.1322
BT-20	Neratinib	0.04	3504.3333	4489	1362.6667	0.73182
BT-20	Neratinib	0.12	3326	4489	1362.6667	0.68002
BT-20	Neratinib	0.37	3160.3333	4489	1362.6667	0.63085
BT-20	Neratinib	1.11	2865	4489	1362.6667	0.54043
BT-20	Neratinib	3.33	2499.6667	4489	1362.6667	0.42297
BT-20	Neratinib	10	2180.3333	4489	1362.6667	0.31427
BT-20	Nilotinib	0.04	4476	4489	1362.6667	0.99663
BT-20	Nilotinib	0.12	4506.3333	4489	1362.6667	1.0045
BT-20	Nilotinib	0.37	4540.6667	4489	1362.6667	1.0134
BT-20	Nilotinib	1.11	4446.3333	4489	1362.6667	0.98893
BT-20	Nilotinib	3.33	4494.6667	4489	1362.6667	1.0015
BT-20	Nilotinib	10	1444.3333	4489	1362.6667	0.03442
BT-20	Nintedanib	0.04	4445.6667	4327	1362.6667	1.0327
BT-20	Nintedanib	0.12	4388.3333	4327	1362.6667	1.017
BT-20	Nintedanib	0.37	3889.6667	4327	1362.6667	0.87616
BT-20	Nintedanib	1.11	3789	4327	1362.6667	0.84688
BT-20	Nintedanib	3.33	3317	4327	1362.6667	0.7052
BT-20	Nintedanib	10	2708.6667	4327	1362.6667	0.51005
BT-20	OSI-027	0.04	4374	4327	1362.6667	1.013
BT-20	OSI-027	0.12	3615.6667	4327	1362.6667	0.79572
BT-20	OSI-027	0.37	3001.6667	4327	1362.6667	0.60602
BT-20	OSI-027	1.11	2584	4327	1362.6667	0.46796
BT-20	OSI-027	3.33	2183	4327	1362.6667	0.32672
BT-20	OSI-027	10	1727.6667	4327	1362.6667	0.15301
BT-20	PD0325901	0.04	4088.8333	4408	1362.6667	0.91319
BT-20	PD0325901	0.12	3927.8333	4408	1362.6667	0.86834
BT-20	PD0325901	0.37	3861.1667	4408	1362.6667	0.84955
BT-20	PD0325901	1.11	3425.8333	4408	1362.6667	0.72343
BT-20	PD0325901	3.33	2939.1667	4408	1362.6667	0.57436
BT-20	PD0325901	10	2541.1667	4408	1362.6667	0.44476
BT-20	PD173074	0.04	4708	4327	1362.6667	1.1039
BT-20	PD173074	0.12	4653.3333	4327	1362.6667	1.0892
BT-20	PD173074	0.37	4703.3333	4327	1362.6667	1.1026
BT-20	PD173074	1.11	4880.6667	4327	1362.6667	1.1498
BT-20	PD173074	3.33	4948	4327	1362.6667	1.1676
BT-20	PD173074	10	3904	4327	1362.6667	0.8803
BT-20	PD184352	0.04	4666	4489	1362.6667	1.0455
BT-20	PD184352	0.12	4618.3333	4489	1362.6667	1.0333
BT-20	PD184352	0.37	4486.3333	4489	1362.6667	0.99931
BT-20	PD184352	1.11	4436	4489	1362.6667	0.98624
BT-20	PD184352	3.33	4299.6667	4489	1362.6667	0.95051
BT-20	PD184352	10	2160	4489	1362.6667	0.30713
BT-20	PF431396	0.04	4101.6667	4489	1362.6667	0.89778
BT-20	PF431396	0.12	3630.6667	4489	1362.6667	0.76785
BT-20	PF431396	0.37	2527.3333	4489	1362.6667	0.43211
BT-20	PF431396	1.11	1700.3333	4489	1362.6667	0.13736
BT-20	PF431396	3.33	1473.3333	4489	1362.6667	0.046445
BT-20	PF431396	10	1019	4489	1362.6667	-0.15547
BT-20	PF477736	0.04	4073.6667	4489	1362.6667	0.89023
BT-20	PF477736	0.12	4325.3333	4489	1362.6667	0.95728
BT-20	PF477736	0.37	4308.3333	4489	1362.6667	0.9528
BT-20	PF477736	1.11	4225.6667	4489	1362.6667	0.93093
BT-20	PF477736	3.33	3744	4489	1362.6667	0.79973
BT-20	PF477736	10	1689.6667	4489	1362.6667	0.13321
BT-20	PF562271	0.04	4049.6667	4327	1362.6667	0.92208
BT-20	PF562271	0.12	3891.6667	4327	1362.6667	0.87674
