Cell Line,Collection,Receptor Status,Molecular Subtype,BRCA1,BRCA2,CDH1,MAP3K1,MLL3,PIK3CA,PTEN,TP53,GATA3*,MAP2K4,Media Base,Media Additives,Atcc Number,Link
HCC202,ICBP43,HER2amp,Luminal,WT,WT,WT,WT,MUT,MUT,WT,MUT,WT,WT,RPMI-1640 ,10% FBS  +  1% P/S,CRL-2316,http://www.atcc.org/Products/All/CRL-2316.aspx
HCC1187,ICBP43,TNBC,Basal A,WT,WT,WT,WT,MUT,WT,WT,WT,WT,WT,RPMI-1640 ,10% FBS  +  1% P/S,CRL-2322,http://www.atcc.org/Products/All/CRL-2322.aspx
HCC1395,ICBP43,TNBC,"Claudin low, Basal B",MUT,MUT,WT,WT,WT,WT,WT,MUT,WT,WT,RPMI-1640 ,10% FBS  +  1% P/S,CRL-2324,http://www.atcc.org/Products/All/CRL-2324.aspx
HCC1419,ICBP43,HER2amp,Luminal,WT,WT,WT,WT,WT,WT,WT,MUT,WT,WT,RPMI-1640 ,10% FBS  +  1% P/S,CRL-2326,http://www.atcc.org/Products/All/CRL-2326.aspx
HCC1428,ICBP43,HR+,Luminal,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,RPMI-1640 ,10% FBS  +  1% P/S,CRL-2327,http://www.atcc.org/Products/All/CRL-2327.aspx
HCC1500,ICBP43,HR+,Luminal,WT,WT,WT,WT,MUT,WT,WT,WT,WT,WT,RPMI-1640 ,10% FBS  +  1% P/S,CRL-2329,http://www.atcc.org/Products/All/CRL-2329.aspx
HCC1569,ICBP43,HER2amp,Basal A,WT,MUT,WT,WT,MUT,WT,MUT,MUT,WT,WT,RPMI-1640 ,10% FBS  +  1% P/S,CRL-2330,http://www.atcc.org/Products/All/CRL-2330.aspx
HCC1599,ICBP43,TNBC,Basal A,WT,MUT,WT,WT,WT,WT,WT,MUT,WT,WT,RPMI-1640 ,10% FBS  +  1% P/S,CRL-2331,http://www.atcc.org/Products/All/CRL-2331.aspx
HCC1806,ICBP43,TNBC,Basal A,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,RPMI-1640 ,10% FBS  +  1% P/S,CRL-2335,http://www.atcc.org/Products/All/CRL-2335.aspx
HCC1937,ICBP43,TNBC,Basal A,MUT*,WT,WT,WT,WT,WT,MUT*,MUT*,WT,WT,RPMI-1640 ,10% FBS  +  1% P/S,CRL-2336,http://www.atcc.org/Products/All/CRL-2336.aspx
HCC1954,ICBP43,HER2amp,Basal A,WT,WT,WT,WT,WT,MUT,WT,MUT,WT,WT,RPMI-1640 ,10% FBS  +  1% P/S,CRL-2338,http://www.atcc.org/Products/All/CRL-2338.aspx
HCC2157,ICBP43,TNBC,Basal A,WT,WT,WT,WT,WT,WT,WT,MUT,WT,WT,RPMI-1640 ,10% FBS  +  1% P/S,CRL-2340,http://www.atcc.org/Products/All/CRL-2340.aspx
HCC2218,ICBP43,HER2amp,Luminal,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,RPMI-1640 ,10% FBS  +  1% P/S,CRL-2343,http://www.atcc.org/Products/All/CRL-2343.aspx
Hs 578T,ICBP43; Core 6,TNBC,"Claudin low, Basal B",WT,WT,WT,WT,WT,WT,WT,MUT,WT,WT,DMEM ,10% FBS  +  10 ug/ml bovine insulin +  1% P/S ,HTB-126,http://www.atcc.org/Products/All/HTB-126.aspx
MCF7,ICBP43; Core 6,HR+,Luminal,WT,WT,WT,WT,WT,MUT,WT,WT,MUT*,WT,DMEM ,10% FBS  +  1% P/S,HTB-22,http://www.atcc.org/Products/All/HTB-22.aspx
MCF 10A,ICBP43; Core 6,NM,"Non malignant, Basal",No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,"1:1 mixture of DMEM/Ham's F12 (with L-glutamine, 15 mM Hepes) ", 5% horse serum + 20 ng/ml human EGF + 100 ng/ml cholera toxin + 10 ug/ml bovine insulin + 500 ng/ml hydrocortisone + 1% P/S,CRL-10317,http://www.atcc.org/Products/All/CRL-10317.aspx
MCF 10F,ICBP43,NM,"Non malignant, Basal",No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,"1:1 mixture of DMEM/Ham's F12 (with L-glutamine, 15 mM Hepes) ", 5% horse serum + 20 ng/ml human EGF + 100 ng/ml cholera toxin + 10 ug/ml bovine insulin + 500 ng/ml hydrocortisone + 1% P/S,CRL-10318,http://www.atcc.org/Products/All/CRL-10318.aspx
MCF-12A,ICBP43,NM,"Non malignant, Basal",No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,"1:1 mixture of DMEM/Ham's F12 (with L-glutamine, 15 mM Hepes) ", 5% horse serum + 20 ng/ml human EGF + 100 ng/ml cholera toxin + 10 ug/ml bovine insulin + 500 ng/ml hydrocortisone + 1% P/S,CRL-10782,http://www.atcc.org/Products/All/CRL-10782.aspx
MDA-MB-134-VI,ICBP43,HR+,Luminal,WT,WT,WT,WT,WT,WT,WT,WT,WT,MUT,Leibovitz's L-15 ,"20% FBS (not heat-inactivated)  +  1% P/S, no CO2",HTB-23,http://www.atcc.org/Products/All/HTB-23.aspx
MDA-MB-157,ICBP43,TNBC,"Claudin low, Basal B",WT,WT,WT,MUT*,WT,WT,WT,MUT*,WT,WT,Leibovitz's L-15 ,"10% FBS (not heat-inactivated)  +  1% P/S, no CO2",HTB-24,http://www.atcc.org/Products/All/HTB-24.aspx
MDA-MB-175-VII,ICBP43,HR+,Luminal,WT,WT,WT,WT,MUT*,WT,WT,WT,WT,WT,Leibovitz's L-15 ,"10% FBS (not heat-inactivated)  +  1% P/S, no CO2",HTB-25,http://www.atcc.org/Products/All/HTB-25.aspx
MDA-MB-231,ICBP43; Core 6,TNBC,"Claudin low, Basal B",WT,WT,WT,WT,WT,WT,WT,MUT,WT,WT,Leibovitz's L-15 ,10% FBS  +  1% P/S,HTB-26,http://www.atcc.org/Products/All/HTB-26.aspx
MDA-MB-361,ICBP43,HER2amp,Luminal,WT,MUT,WT,WT,WT,MUT,WT,MUT,WT,WT,Leibovitz's L-15 ,"20% FBS (not heat-inactivated)  +  1% P/S, no CO2",HTB-27,http://www.atcc.org/Products/All/HTB-27.aspx
MDA-MB-415,ICBP43,HR+,Luminal,WT,WT,WT,MUT,MUT,WT,MUT,MUT,WT,MUT,Leibovitz's L-15 ,"15% FBS (not heat-inactivated)  +  1% P/S  +  10 ug/ml insulin, no CO2",HTB-128,http://www.atcc.org/Products/All/HTB-128.aspx
MDA-MB-436,ICBP43,TNBC,"Claudin low, Basal B",MUT,WT,WT,WT,MUT,WT,WT,WT,WT,WT,Leibovitz's L-15 ,"10% FBS (not heat-inactivated)  +  1% P/S  +  10 ug/ml insulin, no CO2",HTB-130,http://www.atcc.org/Products/All/HTB-130.aspx
MDA-MB-453,ICBP43,TNBC,Luminal,WT,WT,MUT,WT,MUT,MUT,MUT,WT,WT,WT,Leibovitz's L-15 ,"10% FBS (not heat-inactivated)  +  1% P/S, no CO2",HTB-131,http://www.atcc.org/Products/All/HTB-131.aspx
MDA-MB-468,ICBP43,TNBC,Basal A,WT,WT,WT,WT,MUT,WT,MUT,WT,WT,WT,Leibovitz's L-15 ,"10% FBS (not heat-inactivated)  +  1% P/S, no CO2",HTB-132,http://www.atcc.org/Products/All/HTB-132.aspx
SK-BR-3,ICBP43; Core 6,HER2amp,Luminal,WT,WT,WT,WT,MUT,WT,WT,MUT,WT,WT,McCoy's 5a ,10% FBS  +  1% P/S,HTB-30,http://www.atcc.org/Products/All/HTB-30.aspx
T47D,ICBP43,HR+,Luminal,WT,WT,WT,WT,MUT,MUT,WT,MUT,WT,WT,RPMI-1640 ,10% FBS  +  1% P/S  +  10 ug/ml bovine insulin,HTB-133,http://www.atcc.org/Products/All/HTB-133.aspx
UACC-812,ICBP43,HER2amp,Luminal,WT,WT,MUT,WT,WT,WT,WT,WT,WT,WT,Leibovitz's L-15 ,"20% FBS (not heat-inactivated) + 2 mM L-glutamine + 20 ng/ml human EGF + 1% P/S, no CO2",CRL-1897,http://www.atcc.org/Products/All/CRL-1897.aspx
UACC-893,ICBP43,HER2amp,Luminal,WT,WT,WT,WT,WT,MUT,WT,MUT,WT,WT,Leibovitz's L-15 ,"10% FBS (not heat-inactivated)  +  1% P/S, no CO2",CRL-1902,http://www.atcc.org/Products/All/CRL-1902.aspx
ZR-75-1,ICBP43,HR+,Luminal,WT,WT,WT,WT,WT,WT,MUT,WT,WT,WT,RPMI-1640 ,10% FBS  +  1% P/S,CRL-1500,http://www.atcc.org/Products/All/CRL-1500.aspx
ZR-75-30,ICBP43,HER2amp,Luminal,WT,MUT,MUT,WT,MUT,WT,WT,WT,WT,WT,RPMI-1640 ,10% FBS  +  1% P/S,CRL-1504,http://www.atcc.org/Products/All/CRL-1504.aspx
